id,electoral_cycle,source,name,sex,gov_support,exact_seat,committee_membership,party_hierarchy,seniority,g/o_type,seat_type,g/o_change_day,g/o_change_month,g/o_change_year,g/o_change2_day,g/o_change2_month,g/o_change2_year,cm_from_day,cm_from_month,cm_from_year,cm_to_day,cm_to_month,cm_to_year,ph_from_day,ph_from_month,ph_from_year,ph_to_day,ph_to_month,ph_to_year
c024_2010_186_20101004_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc024%26p_ckl%3D39%26p_osszefuz%3D,cser-palkovics_andras,m,1,fejer,186,2,2,0,rl,9999,9999,9999,9999,9999,9999,4,10,2010,11,10,2010,14,5,2010,5,5,2014
c032_2010_172_20100514_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc032%26p_ckl%3D39%26p_osszefuz%3D,csizi_peter,m,1,baranya,172,99995,1,0,rl,9999,9999,9999,9999,9999,9999,14,5,2010,5,5,2014,99995,99995,99995,99995,99995,99995
c123_2010_171_20131104_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc123%26p_ckl%3D39%26p_osszefuz%3D,csoti_gyorgy,m,1,budapest,171,99995,3,0,rl,9999,9999,9999,9999,9999,9999,4,11,2013,5,5,2014,99995,99995,99995,99995,99995,99995
c123_2010_174_20111230_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc123%26p_ckl%3D39%26p_osszefuz%3D,csoti_gyorgy,m,1,budapest,174,99995,3,0,rl,9999,9999,9999,9999,9999,9999,30,12,2011,5,5,2014,99995,99995,99995,99995,99995,99995
c123_2010_189_20120227_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc123%26p_ckl%3D39%26p_osszefuz%3D,csoti_gyorgy,m,1,budapest,189,99995,3,0,rl,9999,9999,9999,9999,9999,9999,27,2,2012,5,5,2014,99995,99995,99995,99995,99995,99995
c030_2010_165_20100514_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dc030%26p_ckl%3D39%26p_osszefuz%3D,csobor_katalin,f,1,borsod-abaćj-zemplen_1.,165,99995,1,0,smd,9999,9999,9999,9999,9999,9999,14,5,2010,5,5,2014,99995,99995,99995,99995,99995,99995
d029_2010_164_20100705_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dd029%26p_ckl%3D39%26p_osszefuz%3D,daher_pierre,m,1,borsod-abaćj-zemplen,164,99995,1,0,rl,9999,9999,9999,9999,9999,9999,5,7,2010,5,5,2014,99995,99995,99995,99995,99995,99995
d029_2010_174_20110228_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dd029%26p_ckl%3D39%26p_osszefuz%3D,daher_pierre,m,1,borsod-abaćj-zemplen,174,99995,1,0,rl,9999,9999,9999,9999,9999,9999,28,2,2011,23,9,2013,99995,99995,99995,99995,99995,99995
d002_2010_181_20100514_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dd002%26p_ckl%3D39%26p_osszefuz%3D,dancso_jozsef,m,1,bekes_6.,181,99995,4,0,smd,9999,9999,9999,9999,9999,9999,14,5,2010,1,2,2014,99995,99995,99995,99995,99995,99995
d002_2010_183_20100614_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dd002%26p_ckl%3D39%26p_osszefuz%3D,dancso_jozsef,m,1,bekes_6.,183,99995,4,0,smd,9999,9999,9999,9999,9999,9999,14,6,2010,31,12,2011,99995,99995,99995,99995,99995,99995
d002_2010_187_20101126_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dd002%26p_ckl%3D39%26p_osszefuz%3D,dancso_jozsef,m,1,bekes_6.,187,99995,4,0,smd,9999,9999,9999,9999,9999,9999,26,11,2010,11,4,2011,99995,99995,99995,99995,99995,99995
d030_2010_179_20110307_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dd030%26p_ckl%3D39%26p_osszefuz%3D,danko_bela,m,1,bekes_5.,179,99995,1,0,smd,9999,9999,9999,9999,9999,9999,7,3,2011,5,5,2014,99995,99995,99995,99995,99995,99995
d030_2010_180_20130923_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dd030%26p_ckl%3D39%26p_osszefuz%3D,danko_bela,m,1,bekes_5.,180,99995,1,0,smd,9999,9999,9999,9999,9999,9999,23,9,2013,5,5,2014,99995,99995,99995,99995,99995,99995
d030_2010_181_20101018_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dd030%26p_ckl%3D39%26p_osszefuz%3D,danko_bela,m,1,bekes_5.,181,99995,1,0,smd,9999,9999,9999,9999,9999,9999,18,10,2010,7,3,2011,99995,99995,99995,99995,99995,99995
d180_2010_177_20100514_0,2010-2014,http://www.parlament.hu/kepviselok-elozo-ciklusbeli-adatai?p_auth=23PctngB&p_p_id=pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_pairproxy_WAR_pairproxyportlet_INSTANCE_9xd2Wc9jP4z8_pairAction=%2Finternet%2Fcplsql%2Fogy_kpv.kepv_adat%3Fp_azon%3Dd180%26p_ckl%3D39%26p_osszefuz%3D,demeter_ervin,m,1,heves,177,2,4,0,rl,9999,9999,9999,9999,9999,9999,14,5,2010,21,2,2011,8,6,2010,5,5,2014
